#Location	Time	Pollutant	Actual	Estimated	Power
St Johns Road	7	NOx	348	269.2821899	3
St Johns Road	7	NOx	348	270.7682399	4
St Johns Road	7	NOx	348	267.7734398	5
St Johns Road	7	NOx	348	262.4460124	6
St Johns Road	7	NOx	348	256.1349007	7
St Johns Road	7	NOx	348	249.5688626	8
St Johns Road	7	NOx	348	243.1118829	9
St Johns Road	7	NOx	348	236.9363506	10
St Johns Road	7	NOx	348	231.118745	11
St Johns Road	7	NOx	348	225.6882212	12
St Johns Road	7	NOx	348	220.6503819	13
St Johns Road	7	NOx	348	215.9987667	14
St Johns Road	7	NOx	348	211.720449	15
St Johns Road	7	NOx	348	207.7988535	16
St Johns Road	7	NOx	348	204.2152749	17
St Johns Road	7	NOx	348	200.9497869	18
St Johns Road	7	NOx	348	197.9818528	19
St Johns Road	8	NOx	769	308.8571429	0
St Johns Road	8	NOx	769	322.8425226	1
St Johns Road	8	NOx	769	336.1228821	2
St Johns Road	8	NOx	769	343.3892284	3
St Johns Road	8	NOx	769	343.745373	4
St Johns Road	8	NOx	769	338.9976971	5
St Johns Road	8	NOx	769	331.3040562	6
St Johns Road	8	NOx	769	322.2299116	7
St Johns Road	8	NOx	769	312.7151047	8
St Johns Road	8	NOx	769	303.2755678	9
St Johns Road	8	NOx	769	294.1805498	10
St Johns Road	8	NOx	769	285.5641764	11
St Johns Road	8	NOx	769	277.4878154	12
St Johns Road	8	NOx	769	269.973308	13
St Johns Road	8	NOx	769	263.0204433	14
St Johns Road	8	NOx	769	256.616248	15
St Johns Road	8	NOx	769	250.7400934	16
St Johns Road	8	NOx	769	245.366668	17
St Johns Road	8	NOx	769	240.4678384	18
St Johns Road	8	NOx	769	236.0139093	19
Gorgie Road	1	NO	49	6.571428571	0
Gorgie Road	1	NO	49	6.656256167	1
Gorgie Road	1	NO	49	6.350379183	2
Gorgie Road	1	NO	49	5.973726755	3
Gorgie Road	1	NO	49	5.693959652	4
Gorgie Road	1	NO	49	5.531273763	5
Gorgie Road	1	NO	49	5.455841823	6
Gorgie Road	1	NO	49	5.435465342	7
Gorgie Road	1	NO	49	5.446978866	8
Gorgie Road	1	NO	49	5.475747712	9
Gorgie Road	1	NO	49	5.513021056	10
Gorgie Road	1	NO	49	5.553699307	11
Gorgie Road	1	NO	49	5.594851819	12
Gorgie Road	1	NO	49	5.634816269	13
Gorgie Road	1	NO	49	5.672672739	14
Gorgie Road	1	NO	49	5.707941364	15
Gorgie Road	1	NO	49	5.740408301	16
Gorgie Road	1	NO	49	5.770023943	17
Gorgie Road	1	NO	49	5.796841574	18
Gorgie Road	1	NO	49	5.820978906	19
Gorgie Road	2	NO	15	8	0
Gorgie Road	2	NO	15	8.463491878	1
Gorgie Road	2	NO	15	8.549688291	2
Gorgie Road	2	NO	15	8.431375866	3
Gorgie Road	2	NO	15	8.263971886	4
Gorgie Road	2	NO	15	8.110688109	5
Gorgie Road	2	NO	15	7.983305382	6
Gorgie Road	2	NO	15	7.877575604	7
Gorgie Road	2	NO	15	7.787228081	8
Gorgie Road	2	NO	15	7.707573127	9
Gorgie Road	2	NO	15	7.635729337	10
Gorgie Road	2	NO	15	7.570097317	11
Gorgie Road	2	NO	15	7.509840979	12
Gorgie Road	2	NO	15	7.454526415	13
Gorgie Road	2	NO	15	7.403902989	14
Gorgie Road	2	NO	15	7.357782682	15
Gorgie Road	2	NO	15	7.315980324	16
Gorgie Road	2	NO	15	7.278289043	17
Gorgie Road	2	NO	15	7.244474797	18
Gorgie Road	2	NO	15	7.214280319	19
Gorgie Road	3	NO	6	15.85714286	0
Gorgie Road	3	NO	6	20.46919453	1
Gorgie Road	3	NO	6	23.57432585	2
Gorgie Road	3	NO	6	25.07969369	3
Gorgie Road	3	NO	6	25.5914327	4
Gorgie Road	3	NO	6	25.61987715	5
Gorgie Road	3	NO	6	25.43716437	6
Gorgie Road	3	NO	6	25.16718379	7
Gorgie Road	3	NO	6	24.86423736	8
Gorgie Road	3	NO	6	24.55288193	9
Gorgie Road	3	NO	6	24.24515544	10
Gorgie Road	3	NO	6	23.94761769	11
Gorgie Road	3	NO	6	23.66418733	12
Gorgie Road	3	NO	6	23.39730337	13
Gorgie Road	3	NO	6	23.14843111	14
Gorgie Road	3	NO	6	22.91831559	15
Gorgie Road	3	NO	6	22.70713882	16
Gorgie Road	3	NO	6	22.51463942	17
Gorgie Road	3	NO	6	22.34021434	18
Gorgie Road	3	NO	6	22.18300844	19
Gorgie Road	4	NO	6	12.71428571	0
Gorgie Road	4	NO	6	14.94356225	1
Gorgie Road	4	NO	6	16.673418	2
Gorgie Road	4	NO	6	17.80965952	3
Gorgie Road	4	NO	6	18.55889166	4
Gorgie Road	4	NO	6	19.11115695	5
Gorgie Road	4	NO	6	19.56965332	6
Gorgie Road	4	NO	6	19.98008976	7
Gorgie Road	4	NO	6	20.36047194	8
Gorgie Road	4	NO	6	20.71698641	9
Gorgie Road	4	NO	6	21.05115474	10
Gorgie Road	4	NO	6	21.36288209	11
Gorgie Road	4	NO	6	21.65173044	12
Gorgie Road	4	NO	6	21.91743307	13
Gorgie Road	4	NO	6	22.16007677	14
Gorgie Road	4	NO	6	22.38013333	15
Gorgie Road	4	NO	6	22.5784218	16
Gorgie Road	4	NO	6	22.75604098	17
Gorgie Road	4	NO	6	22.9142932	18
Gorgie Road	4	NO	6	23.05461054	19
Gorgie Road	5	NO	6	30.85714286	0
Gorgie Road	5	NO	6	33.57899431	1
Gorgie Road	5	NO	6	35.30672992	2
Gorgie Road	5	NO	6	36.42082059	3
Gorgie Road	5	NO	6	37.35385396	4
Gorgie Road	5	NO	6	38.29856078	5
Gorgie Road	5	NO	6	39.29136648	6
Gorgie Road	5	NO	6	40.31350737	7
Gorgie Road	5	NO	6	41.33653788	8
Gorgie Road	5	NO	6	42.33623351	9
Gorgie Road	5	NO	6	43.29494627	10
Gorgie Road	5	NO	6	44.20078001	11
Gorgie Road	5	NO	6	45.04629772	12
Gorgie Road	5	NO	6	45.82743495	13
Gorgie Road	5	NO	6	46.54268298	14
Gorgie Road	5	NO	6	47.19247181	15
Gorgie Road	5	NO	6	47.77868457	16
Gorgie Road	5	NO	6	48.30426074	17
Gorgie Road	5	NO	6	48.77286628	18
Gorgie Road	5	NO	6	49.1886202	19
Gorgie Road	6	NO	14	46.28571429	0
Gorgie Road	6	NO	14	48.23123024	1
Gorgie Road	6	NO	14	49.39854627	2
Gorgie Road	6	NO	14	50.60800512	3
Gorgie Road	6	NO	14	52.22866706	4
Gorgie Road	6	NO	14	54.23792278	5
Gorgie Road	6	NO	14	56.49613377	6
Gorgie Road	6	NO	14	58.8719536	7
Gorgie Road	6	NO	14	61.26876196	8
Gorgie Road	6	NO	14	63.62054797	9
Gorgie Road	6	NO	14	65.88327157	10
Gorgie Road	6	NO	14	68.02804197	11
Gorgie Road	6	NO	14	70.03661913	12
Gorgie Road	6	NO	14	71.89855083	13
Gorgie Road	6	NO	14	73.60927892	14
Gorgie Road	6	NO	14	75.16877997	15
Gorgie Road	6	NO	14	76.58050145	16
Gorgie Road	6	NO	14	77.85047853	17
Gorgie Road	6	NO	14	78.9865833	18
Gorgie Road	6	NO	14	79.99788893	19
Gorgie Road	7	NO	70	126.4285714	0
Gorgie Road	7	NO	70	133.9651958	1
Gorgie Road	7	NO	70	138.1497548	2
Gorgie Road	7	NO	70	140.5950552	3
Gorgie Road	7	NO	70	142.7203414	4
Gorgie Road	7	NO	70	145.0514331	5
Gorgie Road	7	NO	70	147.6284128	6
Gorgie Road	7	NO	70	150.3500836	7
Gorgie Road	7	NO	70	153.1077332	8
Gorgie Road	7	NO	70	155.8180163	9
Gorgie Road	7	NO	70	158.4237624	10
