#o3_ppb	temp	humid	time
1	4.5	75.5	2014-02-03T18:45:00
1.21	4.5	75.5	2014-02-03T18:44:00
1.8	4.5	75.5	2014-02-03T18:43:00
1.47	4.37	75.8	2014-02-03T18:42:00
1.21	4.3	76	2014-02-03T18:41:00
1	4.3	76	2014-02-03T18:40:00
1.12	4.3	76	2014-02-03T18:39:00
1.08	4.3	76	2014-02-03T18:38:00
0.927	4.3	76	2014-02-03T18:37:00
0.905	4.3	76	2014-02-03T18:36:00
1.04	4.3	76	2014-02-03T18:35:00
1.47	4.3	76	2014-02-03T18:34:00
1.06	4.3	76	2014-02-03T18:33:00
0.577	4.43	75.7	2014-02-03T18:32:00
0.43	4.5	75.6	2014-02-03T18:31:00
0.59	4.5	75.6	2014-02-03T18:30:00
0.473	4.5	75.6	2014-02-03T18:29:00
0.3	4.5	75.6	2014-02-03T18:28:00
0.3	4.5	75.6	2014-02-03T18:27:00
0.345	4.5	75.6	2014-02-03T18:26:00
0.465	4.5	75.6	2014-02-03T18:25:00
0.465	4.5	75.6	2014-02-03T18:24:00
0.582	4.5	75.6	2014-02-03T18:23:00
0.797	4.68	74.7	2014-02-03T18:22:00
1.07	4.8	74.2	2014-02-03T18:21:00
1.11	4.8	74.2	2014-02-03T18:20:00
1.14	4.8	74.2	2014-02-03T18:19:00
1.24	4.8	74.2	2014-02-03T18:18:00
1.3	4.8	74.2	2014-02-03T18:17:00
0.848	4.8	74.2	2014-02-03T18:16:00
0.822	4.8	74.2	2014-02-03T18:15:00
0.812	4.8	74.2	2014-02-03T18:14:00
1.07	4.8	74.2	2014-02-03T18:13:00
1.18	4.61	74.9	2014-02-03T18:12:00
1.16	4.5	75.3	2014-02-03T18:11:00
1.3	4.5	75.3	2014-02-03T18:10:00
1.2	4.5	75.3	2014-02-03T18:09:00
1.71	4.5	75.3	2014-02-03T18:08:00
2.31	4.5	75.3	2014-02-03T18:07:00
1.46	4.5	75.3	2014-02-03T18:06:00
1.38	4.5	75.3	2014-02-03T18:05:00
1.7	4.5	75.3	2014-02-03T18:04:00
1.8	4.5	75.3	2014-02-03T18:03:00
1.99	4.44	75.1	2014-02-03T18:02:00
2.06	4.4	75	2014-02-03T18:01:00
2	4.4	75	2014-02-03T18:00:00
2.56	4.4	75	2014-02-03T17:59:00
3.19	4.4	75	2014-02-03T17:58:00
3.18	4.4	75	2014-02-03T17:57:00
2.19	4.4	75	2014-02-03T17:56:00
1.71	4.4	75	2014-02-03T17:55:00
1.4	4.4	75	2014-02-03T17:54:00
1.48	4.4	75	2014-02-03T17:53:00
1.77	4.46	74.7	2014-02-03T17:52:00
1.9	4.5	74.5	2014-02-03T17:51:00
1.34	4.5	74.5	2014-02-03T17:50:00
1.03	4.5	74.5	2014-02-03T17:49:00
1.08	4.5	74.5	2014-02-03T17:48:00
1.15	4.5	74.5	2014-02-03T17:47:00
1.36	4.5	74.5	2014-02-03T17:46:00
1.89	4.5	74.5	2014-02-03T17:45:00
1.85	4.5	74.5	2014-02-03T17:44:00
1.79	4.5	74.5	2014-02-03T17:43:00
1.88	4.56	74.4	2014-02-03T17:42:00
1.99	4.6	74.4	2014-02-03T17:41:00
2.27	4.6	74.4	2014-02-03T17:40:00
2.2	4.6	74.4	2014-02-03T17:39:00
1.9	4.6	74.4	2014-02-03T17:38:00
1.53	4.6	74.4	2014-02-03T17:37:00
