#timestamp	ozone_ppb	temperature	humidity	latitude	longitude
1391252088.635	34.36030968	3	63	4722.99496	832.01202
1391252084.202	35.03054147	5	58	4721.48492	831.31179
1391252071.230	26.50218474	4	60	4722.65033	830.253
1391252068.274	11.33190874	16	45	4722.40752	831.28287
1391252064.262	15.7274524	3	63	4723.38509	831.29476
1391252063.249	23.52901089	14	50	4723.70793	832.63405
1391252059.226	13.21193287	3	60	4725.00318	834.15943
1391252058.649	34.36030968	3	63	4722.93587	832.0994
1391252054.223	35.03054147	5	58	4721.46101	831.24569
1391252043.243	27.63175134	2	62	4722.64589	833.17217
1391252041.746	26.50218474	4	60	4722.6422	829.97868
1391252038.264	11.33190874	16	45	4722.40724	831.28278
1391252034.251	15.7274524	3	63	4723.2963	831.19097
1391252033.248	23.52901089	14	50	4723.70953	832.63397
1391252029.245	13.21193287	3	60	4725.00297	834.15982
1391252029.217	34.23479736	3	65	4722.86035	832.19149
1391252024.224	34.76650254	5	57	4721.47941	831.20905
1391252011.230	26.37871618	4	61	4722.64742	829.93567
1391252008.270	11.33190874	16	45	4722.40704	831.28298
1391252004.248	17.06761416	3	62	4723.25604	831.15418
1391252003.232	23.52901089	14	50	4723.70808	832.63145
1391252000.223	34.23479736	3	65	4722.79423	832.25185
1391251999.226	13.35771175	3	58	4725.00262	834.15859
1391251994.222	34.76650254	5	57	4721.52027	831.04872
1391251983.268	27.63175134	2	62	4722.64564	833.17205
1391251981.516	26.37871618	4	61	4722.68078	829.8532
1391251978.236	11.21583465	16	45	4722.40668	831.28444
1391251974.288	17.06761416	3	62	4723.24956	831.12338
1391251973.208	23.52901089	14	50	4723.71083	832.62985
1391251969.292	34.12602003	3	63	4722.77957	832.24717
1391251969.249	13.35771175	3	58	4725.00245	834.15704
1391251964.222	34.31424919	6	57	4721.52678	831.01994
1391251951.233	26.25524762	4	61	4722.75563	829.71315
1391251948.296	11.21583465	16	45	4722.40515	831.28687
1391251945.187	23.52901089	14	50	4723.71324	832.63301
1391251944.241	16.95593402	3	63	4723.3404	830.92489
1391251939.224	13.45489767	3	58	4725.00325	834.15824
1391251938.521	34.12602003	3	63	4722.73282	832.36742
1391251934.212	34.31424919	6	57	4721.48711	830.90208
1391251923.251	27.63175134	2	63	4722.64594	833.17257
