#timestamp.	ozone_ppb	temperature	humidity	latitude	longitude
1392421340.178	24.08616621	1	61	4722.18173	831.20043
1392421339.172	12.24007366	3	65	4722.67367	832.50501
1392421326.206	32.74433685	12	52	4723.46805	831.29583
1392421320.202	14.16282831	2	66	4723.25053	831.14765
1392421313.492	12.24007366	3	65	4722.67312	832.50524
1392421312.225	29.13642019	3	64	4721.96892	833.74567
1392421309.195	24.12960021	1	61	4722.19603	831.17166
1392421296.202	32.74433685	12	52	4723.44745	831.29225
1392421291.175	14.16282831	2	66	4723.27502	831.07878
1392421282.181	26.45144702	3	63	4721.9088	833.89418
1392421279.186	24.12960021	1	61	4722.20753	831.13106
1392421279.163	12.28866662	3	64	4722.62607	832.49763
1392421266.208	32.74433685	12	52	4723.45495	831.29206
1392421260.156	14.27229705	2	66	4723.3441	830.91584
1392421252.929	26.45144702	3	63	4721.85121	833.98682
1392421250.211	24.17303422	1	61	4722.23553	830.96893
1392421249.176	12.28866662	3	64	4722.62083	832.46729
1392421236.336	32.74433685	12	52	4723.49116	831.29667
1392421231.206	14.27229705	2	66	4723.37687	830.77122
1392421222.270	24.75096401	3	63	4721.844	833.97373
1392421219.312	24.17303422	1	61	4722.21699	830.82931
1392421219.176	12.28866662	3	64	4722.62231	832.4027
1392421206.202	32.74433685	12	52	4723.48345	831.29657
1392421200.198	14.15958049	1	67	4723.41195	830.63846
1392421192.274	24.75096401	3	63	4721.84477	833.97479
1392421189.207	24.17303422	1	61	4722.19265	830.62282
1392421189.191	12.28866662	3	64	4722.63191	832.36229
1392421176.191	32.74433685	12	51	4723.48315	831.29455
1392421172.165	14.15958049	1	67	4723.44679	830.51801
1392421162.210	24.03497116	3	64	4721.84469	833.97622
1392421161.228	24.17303422	1	61	4722.18618	830.56082
1392421159.209	12.4344455	3	64	4722.63459	832.35362
1392421146.255	32.74433685	12	51	4723.48026	831.28785
1392421139.869	14.27229705	2	66	4723.49662	830.34985
1392421132.290	24.03497116	3	64	4721.84312	833.97644
1392421130.210	24.19628598	2	61	4722.16232	830.35832
1392421129.182	12.4344455	3	64	4722.62567	832.30226
1392421116.179	32.74433685	12	52	4723.47789	831.28374
1392421111.216	14.27229705	2	66	4723.5036	830.3281
1392421102.164	22.60298547	3	63	4721.83198	833.98105
1392421100.212	24.19628598	2	61	4722.14335	830.32559
1392421099.185	12.38585254	3	65	4722.55787	832.2514
1392421086.239	32.74433685	12	52	4723.47706	831.29407
1392421080.219	14.27229705	2	67	4723.53267	830.1571
1392421072.210	22.60298547	3	63	4721.83225	833.9835
1392421069.190	24.17413027	2	60	4722.16591	830.38494
1392421069.175	12.38585254	3	65	4722.54536	832.21769
1392421056.176	32.74433685	12	52	4723.47922	831.30184
1392421050.233	14.27229705	2	67	4723.53005	830.14539
1392421042.221	20.18650962	3	64	4721.83223	833.98301
1392421040.188	24.17413027	2	60	4722.17451	830.43587
1392421039.189	12.4344455	3	65	4722.57828	832.11966
1392421026.216	32.74433685	12	52	4723.47845	831.29866
1392421021.366	14.38176578	2	66	4723.52192	830.11489
1392421012.221	20.18650962	3	64	4721.83273	833.97975
1392421010.219	24.17413027	2	61	4722.19062	830.56584
1392421009.176	12.4344455	3	65	4722.5804	832.0631
1392420996.235	32.74433685	12	52	4723.47932	831.29476
1392420991.217	14.38176578	2	66	4723.52383	829.86369
1392420982.246	16.96454181	3	65	4721.8665	833.98759
1392420979.209	24.17413027	2	61	4722.21028	830.74097
1392420979.177	12.4344455	3	64	4722.57292	832.05384
1392420966.226	32.74433685	12	52	4723.48665	831.30035
1392420952.230	16.96454181	3	65	4721.91292	833.8699
1392420949.169	12.4344455	3	64	4722.46431	831.94265
1392420948.369	24.12981884	2	61	4722.22113	830.83623
1392420936.216	32.74433685	12	52	4723.48207	831.30005
1392420931.182	14.38176578	2	65	4723.52465	829.5044
1392420922.152	15.62205522	3	64	4721.96854	833.73924
